ID,post_title,post_name,post_date,post_parent
20662,"MACH II Family",machii,"2026-05-25 14:50:46",207
20654,"Service Hub",service-hub,"2026-05-22 00:03:28",0
20405,"Panel Machine Readiness Quiz",portable-rollforming-machine-readiness-assessment,"2026-05-08 10:42:28",0
19988,"Ready to Save Up To 30% on Panel Costs?",ready-to-increase-your-roi-by-saving-30-on-panel-costs-get-a-quote-today-from-an-ntm-account-manager,"2026-04-17 10:25:03",0
18754,"Win More Jobs With the SSQ3™ MultiPro",win-more-jobs-with-the-ssq3-multipro,"2025-11-20 09:05:24",0
18608,"SSQ3 Multi Pro",ssq3-multi-pro,"2025-10-20 11:23:18",18273
18568,"METALCON 2025 SHOW SPECIAL!",18568-2,"2025-10-15 10:55:16",0
18544,"The SSQ3™ MultiPro: The Next Generation of Portable Rollforming",the-ssq3-multipro-the-next-generation-of-portable-rollforming,"2025-10-14 14:26:55",0
17951,"Meet the SSQ3™ MultiPro: The Next Generation of Portable Rollforming",meet-the-ssq3-multipro-the-next-generation-of-portable-rollforming,"2025-10-13 08:25:48",0
18281,5VC,5vc,"2025-09-27 21:54:37",18273
18280,SSH,ssh,"2025-09-27 21:38:33",18273
18279,SSR,ssr,"2025-09-27 21:38:23",18273
18278,SSQII,ssqii,"2025-09-27 21:38:15",18273
18277,WAV,wav,"2025-09-27 21:38:02",18273
18275,MACHII,machii,"2025-09-27 21:36:42",18273
18273,Configurator,configurator,"2025-09-27 21:34:37",0
17515,"Get a Quote on a Portable Roof Panel Machine",get-a-quote-on-a-portable-roof-panel-machine,"2025-08-04 14:21:23",0
17223,"NTM's Free Summer Shipping!",ntms-summer-price-slash-free-shipping-2025,"2025-07-11 15:54:27",0
16284,"Z-Cutter Metal Z-Closure Flashing Shear",z-cutter-metal-z-closure-flashing-shear,"2025-06-12 12:40:38",0
14326,"New Tech Machinery Seamless Gutter Machines",seamless-gutter-machines,"2024-10-03 10:55:01",0
14325,"NewTech Machinery Roof &amp; Wall Panel Machines",roof-wall-panel-machines,"2024-10-03 10:54:07",0
13244,"Portable Gutter Machine Selection Guide",portable-gutter-machine-selection-guide,"2024-06-25 13:54:58",0
11062,"NTM Machine Quote Checklist",ntm-machine-quote-checklist-thank-you,"2024-03-27 11:38:11",0
9626,"Designing with Board & Batten",thank-you-designing-with-board-batten,"2023-12-13 14:42:29",0
8072,"Rollforming with Ron",rollforming-with-ron,"2023-10-31 14:50:47",0
7882,"Become a New Tech Machinery Distributor",become-an-ntm-distributor,"2023-10-12 13:07:12",0
7765,"What coil width should you use?",what-coil-width-should-you-use,"2023-09-26 16:13:24",0
7036,"Service Downloads",service-downloads,"2023-07-14 11:13:47",2070
6842,"Thank You — Download the NTM Product Catalog",ntm-product-catalog,"2023-06-16 15:32:32",0
6085,"Thank You — Download the ""Material Usage Guide for Roof Panel Profiles""",thank-you-download-the-material-usage-guide,"2023-03-22 09:52:27",0
5945,"Frequently Asked Questions",faq,"2023-03-15 17:21:21",0
5830,"New Tech Machinery Discontinues Nasser MultiPro<em>™</em> &amp; MACH II<em>™</em> 7""/8"" Gutter Machines",ntm-discontinues-nasser-multipro-and-mach-ii-7-8-machines,"2023-02-16 10:17:40",0
5404,"Thank You — Download ""The Complete Roof Panel and Gutter Machine Maintenance Schedule"" Now",download-the-complete-machine-maintenance-schedule,"2022-09-28 13:31:27",0
5321,"Which roof panel machine is right for me?",roof-panel-machine-assessment-quiz,"2022-09-07 11:34:22",0
5192,"Download the UNIQ® Automatic Control System Software Update",uniq-control-system-update,"2022-08-05 11:35:25",207
4989,"Thank You — Download Your Copy of the ""Brand Name Comparison of Metal Roofing Profiles"" Guide",thank-you-download-the-brand-name-comparison-of-metal-roofing-profiles-guide,"2022-06-21 14:55:58",0
4953,"Request a Quote for the MACH II™ 5″/6"" Combo Gutter Machine",request-a-mach-ii-combo-quote,"2022-06-08 13:19:40",0
4952,"Request a Quote on the MACH II™ 6″ Gutter Machine",request-a-mach-ii-6-quote,"2022-06-08 13:19:32",0
4933,"Request a MACH II™ Gutter Machine Quote",request-a-mach-ii-quote,"2022-06-08 13:05:23",0
4412,"Thank You — Download the ""NTM Portable Roof Panel Machine Comparison"" guide",portable-roof-panel-machine-comparison-guide,"2022-03-24 14:12:15",0
4208,"NTM Accessories",upgrades,"2022-03-01 13:10:01",207
4085,Downloads,downloads,"2022-02-23 10:45:54",196
3946,"NTM Pricing 2025",pricing-increase,"2022-02-11 14:58:59",207
3835,Videos,videos,"2022-02-08 09:20:42",196
3833,Literature,literature,"2022-02-08 09:20:42",196
3761,"General Terms & Conditions of Sale",general-terms-conditions,"2022-01-28 15:52:29",0
3384,"Refund and Returns Policy",refund_returns,"2022-01-20 12:18:42",0
2774,"Terms of Service",terms-of-service,"2021-06-22 20:28:26",0
2629,"SSQ275 Panel Profile",ssq275-panel-profile,"2021-06-07 23:51:35",207
2626,"NTM 200 Computer Controller",ntm-200-computer-controller,"2021-06-07 23:42:22",207
2406,"UNIQ® Automatic Control System",uniq-control-system,"2021-05-25 14:39:54",207
2070,Resources,owner-resources,"2021-05-17 14:23:02",0
1906,"Thank You - Rollforming Learning Center",thank-you-rollforming-learning-center-blog,"2021-05-14 13:32:38",0
217,Financing,leasing-financing,"2021-03-03 20:38:35",207
216,"Sign Up for a Training Session With a Rollforming Specialist",service-training,"2021-03-03 20:38:35",0
215,"Careers at NTM",careers,"2021-03-03 20:38:35",0
210,"Contact New Tech Machinery",contact,"2021-03-03 20:20:45",0
199,Home,home,"2021-03-03 19:45:54",0
1961,"Thank You - Portable Gutter Machine E-Book",thank-you-portable-gutter-machine-e-book,"2020-10-20 17:33:00",0
1963,"Thank You - Simple Steps to Safe Machine Operation Infographic",thank-you-safe-machine-operation-infographic,"2020-07-29 17:38:00",0
1959,"Thank You - Portable Roof & Wall Panel Machine E-Book",thank-you-portable-roof-wall-panel-machine-ebook,"2020-06-25 17:24:00",0
1774,"Thank You - Rollforming Rewind",thank-you-rollforming-rewind,"2019-12-20 14:50:00",0
1771,"Thank You - Metal Roofing & Rollforming Glossary",thank-you-metal-roofing-rollforming-glossary,"2019-10-04 14:44:00",0
1273,"Thank You - Portable Rollforming vs. Factory Panel Suppliers",thank-you-portable-rollforming-factory-panel-suppliers-guide,"2019-08-22 18:27:00",0
1966,"Thank You for Contacting New Tech Machinery",thank-you-contacting-new-tech-machinery,"2018-03-20 17:41:00",0
196,"Learning Center",learning-center,"2015-01-01 00:00:00",0
1764,Footprints,footprints,"1970-01-01 00:00:00",207
1545,"NTM Machine Manuals",manuals,"1970-01-01 00:00:00",207
395,Videos,videos,"1970-01-01 00:00:00",0
388,Patents,patents,"1970-01-01 00:00:00",0
386,"NTM Machine Warranty Registration",warranty-registration,"1970-01-01 00:00:00",207
330,News,news-2,"1970-01-01 00:00:00",326
328,Testimonials,testimonials,"1970-01-01 00:00:00",209
326,News,news,"1970-01-01 00:00:00",0
325,Partners,partners,"1970-01-01 00:00:00",0
309,"My account",my-account,"1970-01-01 00:00:00",0
308,Checkout,checkout,"1970-01-01 00:00:00",0
307,Cart,cart,"1970-01-01 00:00:00",0
256,"NTM Knowledge Base",ntm-knowledge-base,"1970-01-01 00:00:00",0
209,About,about,"1970-01-01 00:00:00",0
208,Profiles,profiles,"1970-01-01 00:00:00",0
207,"Portable Roof & Wall Panel Machines and Seamless Gutter Machines",machines,"1970-01-01 00:00:00",0
3,"Privacy Policy",privacy-policy,"1970-01-01 00:00:00",0
