ID,post_title,post_name,post_date,post_parent
6328,"BB750 Profile - Board and Batten",bb750-profile-board-and-batten,"2023-04-21 14:40:54",0
2764,"WAV-12-1F Profile",wav-12-1f-profile,"2021-06-22 17:23:16",0
2763,WAV-8-1F,wav-8-1f,"2021-06-22 17:18:07",0
1049,"Striation Ribs",striation-ribs,"2021-03-31 20:08:19",0
1048,"V-Ribs (Small or Large)",v-ribs-small-or-large,"2021-03-31 20:08:19",0
1047,"Pencil Ribs (Small or Large)",pencil-ribs-small-or-large,"2021-03-31 20:08:19",0
1046,"Bead Ribs (Standard or Wide)",bead-ribs-standard-or-wide,"2021-03-31 20:08:12",0
1045,"Clip Relief",clip-relief,"2021-03-31 20:08:12",0
1036,"BG7-HK7 with Hook",bg7-hk7-with-hook,"2021-03-31 20:07:59",0
1035,"BG7-SB7 with Straight Back",bg7-sb7-with-straight-back,"2021-03-31 20:07:59",0
1030,"MG6-BB6 - 6"" with Bottom Bead",mg6-bb6-6-with-bottom-bead,"2021-03-31 20:07:46",0
1029,"MG6-HK6 - 6"" with Alcoa Hook",mg6-hk6-6-with-alcoa-hook,"2021-03-31 20:07:46",0
1028,"MG6-SB6 - 6"" with Straight Back",mg6-sb6-6-with-straight-back,"2021-03-31 20:07:46",0
1026,"MG5-BB5 - 5""
with Bottom Bead",mg5-bb5-5with-bottom-bead,"2021-03-31 20:07:40",0
1025,"MG5-HK5 - 5"" with Alcoa Hook",mg5-hk5-5-with-alcoa-hook,"2021-03-31 20:07:40",0
1024,"MG5-SB5 - 5"" with Straight Back",mg5-sb5-5-with-straight-back,"2021-03-31 20:07:40",0
1022,"WAV-16-4F Profile",wav-16-4f-profile-with-flange,"2021-03-31 20:05:49",0
1021,5VC-245P,5vc-245p,"2021-03-31 20:05:49",0
1020,5VC-240P,5vc-240p,"2021-03-31 20:05:49",0
1019,5VC-210P,5vc-210p,"2021-03-31 20:05:41",0
1018,"FWQ150 - 1.5"" Flush Wall/Soffit/Underdeck Panel With Adjustable Reveal",fwq150,"2021-03-31 20:05:41",0
1017,"FWQ100 - 1"" Flush Wall/Soffit/Underdeck Panel With Adjustable Reveal",fwq100,"2021-03-31 20:05:41",0
1016,"SSQ275 - 2"" Snap-Lock/Mechanically Seamed Proprietary Profile",ssq275,"2021-03-31 20:05:41",0
1015,"TRQ250 - 2.5"" Mechanical Seam Trapezoid",trq250,"2021-03-31 20:05:35",0
1014,T-Panel,t-panel,"2021-03-31 20:05:35",0
1013,"FF150 - 1.5"" Snap-Lock With Slotted Flange",ff150,"2021-03-31 20:05:35",0
1012,"FF100 - 1"" Snap-Lock With Slotted Flange",ff100,"2021-03-31 20:05:35",0
1011,"SSQ675 - 1.75"" Snap-Lock",ssq675,"2021-03-31 20:05:28",0
1010,"SSQ550 - 1.5"" Snap-Lock",ssq550,"2021-03-31 20:05:28",0
1009,"SS450SL - 1.5"" Snap-Lock",ss450sl,"2021-03-31 20:05:28",0
1008,"SS450 - 1.5"" Snap-Lock",ss450,"2021-03-31 20:05:28",0
1007,"SSQ210A - 2"" ARMCO Mechanical Seam",ssq210a,"2021-03-31 20:05:21",0
1006,"SSQ200 - 2"" Mechanical Seam",ssq200,"2021-03-31 20:05:21",0
1005,"SS150 - 1.5"" Mechanical Seam",ss150,"2021-03-31 20:05:21",0
1003,"SS100 - 1"" Mechanical Seam",ss100,"2021-03-31 20:05:21",0
